Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
CFAP20,ENSG00000070761,-0.07,7.96E-01,9.69E-01,cilia and flagella associated protein 20
CFAP206,ENSG00000272514,-1.103,7.35E-02,4.51E-01,cilia and flagella associated protein 206
CFAP206,ENSG00000213204,0.04,9.26E-01,9.92E-01,cilia and flagella associated protein 206
CFAP221,ENSG00000163075,-0.426,3.42E-01,7.97E-01,cilia and flagella associated protein 221
CFAP36,ENSG00000163001,-0.37,1.93E-01,6.63E-01,cilia and flagella associated protein 36
CFAP43,ENSG00000197748,-2.22, , ,cilia and flagella associated protein 43
CFAP44,ENSG00000206530,-0.482,3.26E-01,7.85E-01,cilia and flagella associated protein 44
CFAP44-AS1,ENSG00000243849,0.293,5.52E-01, ,CFAP44 antisense RNA 1
CFAP45,ENSG00000213085,-2.066, , ,cilia and flagella associated protein 45
CFAP46,ENSG00000171811,-1.846,6.03E-03,1.20E-01,cilia and flagella associated protein 46
CFAP47,ENSG00000165164,-2.089,5.79E-03,1.17E-01,cilia and flagella associated protein 47
CFAP52,ENSG00000166596,-2.843, , ,cilia and flagella associated protein 52
CFAP53,ENSG00000172361,-0.859,1.18E-01,5.52E-01,cilia and flagella associated protein 53
CFAP54,ENSG00000188596,-1.75,4.83E-03,1.06E-01,cilia and flagella associated 54
CFAP57,ENSG00000243710,-2.073, , ,cilia and flagella associated protein 57
CFAP58,ENSG00000120051,-1.003,2.10E-02,2.40E-01,cilia and flagella associated protein 58
CFAP58-AS1,ENSG00000231233,-0.483,3.73E-01, ,CFAP58 antisense RNA 1 (head to head)
CFAP61,ENSG00000089101,-1.686, , ,cilia and flagella associated protein 61
CFAP69,ENSG00000105792,-1.098,5.00E-02,3.73E-01,cilia and flagella associated protein 69
CFAP69,ENSG00000225498,-1.284, , ,cilia and flagella associated protein 69
CFAP70,ENSG00000156042,-0.976,1.08E-01,5.36E-01,cilia and flagella associated protein 70
CFAP73,ENSG00000186710,-1.745, , ,cilia and flagella associated protein 73
CFAP74,ENSG00000142609,-2.019, , ,cilia and flagella associated protein 74
CFAP77,ENSG00000188523,-1.89,8.96E-03,1.50E-01,cilia and flagella associated protein 77
CFAP97,ENSG00000164323,-0.15,5.89E-01,9.12E-01,cilia and flagella associated protein 97
CFAP99,ENSG00000206113,-2.033, , ,cilia and flagella associated protein 99
CFAP99,ENSG00000249428,-1.994, , ,cilia and flagella associated protein 99
CFB,ENSG00000241534, , , ,complement factor B
CFB,ENSG00000239754, , , ,complement factor B
CFB,ENSG00000243570, , , ,complement factor B
CFB,ENSG00000241253, , , ,complement factor B
CFB,ENSG00000242335, , , ,complement factor B
CFB,ENSG00000243649,0.18,8.14E-01, ,complement factor B
CFB,ENSG00000204359, , , ,complement factor B
CFC1/CFC1B,ENSG00000136698,-1.407,6.13E-02, ,"cripto, FRL-1, cryptic family 1"
CFC1/CFC1B,ENSG00000152093,-1.631,3.70E-02, ,"cripto, FRL-1, cryptic family 1"
CFD,ENSG00000197766,0.009,9.87E-01,9.98E-01,complement factor D (adipsin)
CFDP1,ENSG00000153774,-0.083,7.77E-01,9.66E-01,craniofacial development protein 1
CFH,ENSG00000000971,2.126,6.52E-03,1.25E-01,complement factor H
CFHR1,ENSG00000244414,0.902,1.84E-01, ,complement factor H-related 1
CFHR2,ENSG00000080910, , , ,complement factor H-related 2
CFHR3,ENSG00000116785,1.469,6.06E-02, ,complement factor H-related 3
CFHR4,ENSG00000134365,0.379,4.85E-01, ,complement factor H-related 4
CFHR5,ENSG00000134389,0.289,5.55E-01, ,complement factor H-related 5
CFI,ENSG00000205403,-0.492,4.68E-01,8.59E-01,complement factor I
CFL1,ENSG00000172757,0.22,3.46E-01,8.00E-01,cofilin 1 (non-muscle)
CFL1P1,ENSG00000223820,-0.122,7.63E-01,9.63E-01,cofilin 1 (non-muscle) pseudogene 1
CFL1P2,ENSG00000213478, , , ,cofilin 1 (non-muscle) pseudogene 2
CFL1P3,ENSG00000228056,0.289,5.55E-01, ,cofilin 1 (non-muscle) pseudogene 3
CFL1P4,ENSG00000213026,0.293,5.52E-01, ,cofilin 1 (non-muscle) pseudogene 4
CFL1P5,ENSG00000213830,-0.312,6.65E-01, ,cofilin 1 (non-muscle) pseudogene 5
CFL1P6,ENSG00000215785, , , ,cofilin 1 (non-muscle) pseudogene 6
CFL1P7,ENSG00000213877,-0.005,9.95E-01, ,cofilin 1 (non-muscle) pseudogene 7
CFL1P8,ENSG00000234239,0.286,6.96E-01, ,cofilin 1 (non-muscle) pseudogene 8
CFL2,ENSG00000165410,0.007,9.78E-01,9.97E-01,cofilin 2 (muscle)
CFLAR,ENSG00000003402,-0.318,5.27E-01,8.87E-01,CASP8 and FADD-like apoptosis regulator
CFLAR-AS1,ENSG00000226312,0.96,1.57E-01, ,CFLAR antisense RNA 1
CFP,ENSG00000126759,-0.124,7.53E-01,9.61E-01,complement factor properdin
CFTR,ENSG00000001626,-0.394,6.04E-01,9.18E-01,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
CFTRP1,ENSG00000228593, , , ,cystic fibrosis transmembrane conductance regulator pseudogene 1
CGA,ENSG00000135346,0.348,6.30E-01, ,"glycoprotein hormones, alpha polypeptide"
CGB (includes others),ENSG00000104827, , , ,"chorionic gonadotropin, beta polypeptide"
CGB (includes others),ENSG00000189052,0.289,5.55E-01, ,"chorionic gonadotropin, beta polypeptide"
CGB (includes others),ENSG00000213030,0.432,4.47E-01, ,"chorionic gonadotropin, beta polypeptide"
CGB1/CGB2,ENSG00000267631, , , ,"chorionic gonadotropin, beta polypeptide 2"
CGB1/CGB2,ENSG00000267335, , , ,"chorionic gonadotropin, beta polypeptide 2"
CGB1/CGB2,ENSG00000104818, , , ,"chorionic gonadotropin, beta polypeptide 2"
CGB7,ENSG00000196337,-0.391,6.13E-01, ,"chorionic gonadotropin, beta polypeptide 7"
CGGBP1,ENSG00000163320,-0.244,3.35E-01,7.93E-01,CGG triplet repeat binding protein 1
CGN,ENSG00000143375,-0.349,4.53E-01,8.54E-01,cingulin
CGNL1,ENSG00000128849,1.311, , ,cingulin-like 1
CGREF1,ENSG00000138028,0.775,1.29E-01,5.72E-01,cell growth regulator with EF-hand domain 1
CGRRF1,ENSG00000100532,-0.067,8.37E-01,9.76E-01,cell growth regulator with ring finger domain 1
CH17-340M24.3,ENSG00000197180,0.25,4.40E-01,8.49E-01,uncharacterized protein BC009467
CH17-351M24.1,ENSG00000263278, , , ,uncharacterized LOC644767
CH17-360D5.1/NPY4R,ENSG00000204174,0.18,8.21E-01, ,neuropeptide Y receptor Y4
CH25H,ENSG00000138135,1.146,1.46E-01,6.01E-01,cholesterol 25-hydroxylase
CHAC1,ENSG00000128965,1.835,4.88E-03,1.06E-01,ChaC glutathione-specific gamma-glutamylcyclotransferase 1
CHAC2,ENSG00000143942,-0.218,5.89E-01,9.12E-01,"ChaC, cation transport regulator homolog 2 (E. coli)"
CHAD,ENSG00000136457,0.385,4.81E-01, ,chondroadherin
CHADL,ENSG00000100399,0.15,8.05E-01,9.71E-01,chondroadherin-like
CHAF1A,ENSG00000167670,-0.262,4.99E-01,8.74E-01,"chromatin assembly factor 1, subunit A (p150)"
CHAF1B,ENSG00000159259,0.001,9.96E-01,9.99E-01,"chromatin assembly factor 1, subunit B (p60)"
CHAMP1,ENSG00000198824,0.099,6.05E-01,9.18E-01,chromosome alignment maintaining phosphoprotein 1
CHAT,ENSG00000070748,0.88,2.46E-01,7.23E-01,choline O-acetyltransferase
CHCHD1,ENSG00000172586,-0.03,9.01E-01,9.88E-01,coiled-coil-helix-coiled-coil-helix domain containing 1
CHCHD10,ENSG00000250479,-0.007,9.79E-01,9.97E-01,coiled-coil-helix-coiled-coil-helix domain containing 10
CHCHD2,ENSG00000106153,1.328,5.62E-02,3.96E-01,coiled-coil-helix-coiled-coil-helix domain containing 2
CHCHD2P1,ENSG00000226902, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 1
CHCHD2P11,ENSG00000270809, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 11
CHCHD2P2,ENSG00000215006,-0.613,3.05E-01, ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 2
CHCHD2P3,ENSG00000270849, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 3
CHCHD2P4,ENSG00000213118, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 4
CHCHD2P5,ENSG00000223490, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 5
CHCHD2P6,ENSG00000235084,-1.224,6.71E-02, ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 6
CHCHD2P7,ENSG00000249973, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 7
CHCHD2P8,ENSG00000235115, , , ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 8
CHCHD2P9,ENSG00000186940,-0.362,4.61E-01, ,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 9
CHCHD3,ENSG00000106554,-0.056,8.06E-01,9.71E-01,coiled-coil-helix-coiled-coil-helix domain containing 3
CHCHD3P1,ENSG00000236420,-0.38,4.45E-01, ,coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 1
CHCHD3P2,ENSG00000257723,0.516,5.07E-01, ,coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 2
CHCHD3P3,ENSG00000214973,-0.376,4.48E-01, ,coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 3
CHCHD4,ENSG00000163528,0.07,7.74E-01,9.66E-01,coiled-coil-helix-coiled-coil-helix domain containing 4
CHCHD4P2,ENSG00000237360, , , ,coiled-coil-helix-coiled-coil-helix domain containing 4 pseudogene 2
CHCHD4P3,ENSG00000236156, , , ,CHCHD4P3 processed pseudogene
CHCHD4P4,ENSG00000213964, , , ,coiled-coil-helix-coiled-coil-helix domain containing 4 pseudogene 4
CHCHD4P5,ENSG00000225222, , , , 
CHCHD5,ENSG00000125611,0.075,8.50E-01,9.78E-01,coiled-coil-helix-coiled-coil-helix domain containing 5
CHCHD6,ENSG00000159685,0.23,4.23E-01,8.42E-01,coiled-coil-helix-coiled-coil-helix domain containing 6
CHCHD7,ENSG00000170791,0.134,6.20E-01,9.24E-01,coiled-coil-helix-coiled-coil-helix domain containing 7
CHD1,ENSG00000153922,-0.064,6.47E-01,9.33E-01,chromodomain helicase DNA binding protein 1
CHD1L,ENSG00000131778,-0.252,2.14E-01,6.88E-01,chromodomain helicase DNA binding protein 1-like
CHD2,ENSG00000173575,0.032,7.92E-01,9.69E-01,chromodomain helicase DNA binding protein 2
CHD3,ENSG00000170004,-0.052,8.82E-01,9.85E-01,chromodomain helicase DNA binding protein 3
CHD4,ENSG00000111642,-0.014,9.13E-01,9.90E-01,chromodomain helicase DNA binding protein 4
CHD5,ENSG00000116254,0.454,4.05E-01,8.32E-01,chromodomain helicase DNA binding protein 5
CHD6,ENSG00000124177,-0.166,3.62E-01,8.09E-01,chromodomain helicase DNA binding protein 6
CHD7,ENSG00000171316,-1.241,2.97E-03,7.95E-02,chromodomain helicase DNA binding protein 7
CHD8,ENSG00000100888,-0.009,9.53E-01,9.95E-01,chromodomain helicase DNA binding protein 8
CHD9,ENSG00000177200,0.086,6.27E-01,9.26E-01,chromodomain helicase DNA binding protein 9
CHDH,ENSG00000016391,-0.399,3.73E-01,8.15E-01,choline dehydrogenase
CHEK1,ENSG00000149554,-0.075,8.44E-01,9.77E-01,checkpoint kinase 1
CHEK2,ENSG00000183765,-0.432,3.01E-01,7.67E-01,checkpoint kinase 2
CHEK2P2,ENSG00000259156,-0.052,9.27E-01, ,checkpoint kinase 2 pseudogene 2
CHEK2P3,ENSG00000234898, , , ,checkpoint kinase 2 pseudogene 3
CHEK2P4,ENSG00000235969, , , , 
CHEK2P5,ENSG00000234541, , , , 
CHERP,ENSG00000085872,0.047,7.49E-01,9.60E-01,calcium homeostasis endoplasmic reticulum protein
CHFR,ENSG00000072609,0.362,2.90E-02,2.84E-01,"checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase"
CHGA,ENSG00000100604,0.407,5.53E-01,9.00E-01,chromogranin A
CHGB,ENSG00000089199,0.383,5.62E-01,9.03E-01,chromogranin B
CHI3L1,ENSG00000133048,0.514,4.28E-01,8.44E-01,chitinase 3-like 1 (cartilage glycoprotein-39)
CHI3L2,ENSG00000064886,0.91,1.91E-01, ,chitinase 3-like 2
CHIA,ENSG00000134216,0.289,5.55E-01, ,"chitinase, acidic"
CHIAP1,ENSG00000236040, , , ,"chitinase, acidic pseudogene 1"
CHIAP2,ENSG00000203878,0.864,2.27E-01, ,"chitinase, acidic pseudogene 2"
CHIAP3,ENSG00000234020,-0.047,9.32E-01, ,"chitinase, acidic pseudogene 3"
CHIC1,ENSG00000204116,0.066,7.72E-01,9.65E-01,cysteine-rich hydrophobic domain 1
CHIC2,ENSG00000109220,-0.656,2.36E-01,7.15E-01,cysteine-rich hydrophobic domain 2
CHID1,ENSG00000177830,0.483,1.75E-01,6.44E-01,chitinase domain containing 1
CHIT1,ENSG00000133063,-0.718, , ,chitinase 1 (chitotriosidase)
CHKA,ENSG00000110721,-0.138,6.33E-01,9.29E-01,choline kinase alpha
CHKB,ENSG00000100288,0.117,7.31E-01,9.55E-01,choline kinase beta
CHKB-AS1,ENSG00000205559,-0.204,6.38E-01,9.31E-01,CHKB antisense RNA 1 (head to head)
CHKB-CPT1B,ENSG00000254413, , , ,CHKB-CPT1B readthrough (NMD candidate)
CHL1,ENSG00000134121,-0.232,7.56E-01,9.61E-01,cell adhesion molecule L1-like
CHL1-AS1,ENSG00000234661,-0.261,7.44E-01, ,CHL1 antisense RNA 1
CHL1-AS2,ENSG00000224318,0.098,9.01E-01,9.88E-01,CHL1 antisense RNA 2
CHM,ENSG00000188419,-0.125,7.17E-01,9.52E-01,choroideremia (Rab escort protein 1)
CHML,ENSG00000203668,-0.095,8.07E-01,9.71E-01,choroideremia-like (Rab escort protein 2)
CHMP1A,ENSG00000131165,0.069,7.49E-01,9.60E-01,charged multivesicular body protein 1A
CHMP1AP1,ENSG00000226662,-0.362,4.61E-01, ,charged multivesicular body protein 1A pseudogene 1
CHMP1B,ENSG00000255112,-0.139,6.45E-01,9.32E-01,charged multivesicular body protein 1B
CHMP2A,ENSG00000130724,-0.094,7.20E-01,9.53E-01,charged multivesicular body protein 2A
CHMP2B,ENSG00000083937,0.051,8.32E-01,9.76E-01,charged multivesicular body protein 2B
CHMP3,ENSG00000115561,0.072,8.22E-01,9.74E-01,charged multivesicular body protein 3
CHMP4A,ENSG00000254505,-0.07,7.46E-01,9.60E-01,charged multivesicular body protein 4A
CHMP4B,ENSG00000101421,0.004,9.86E-01,9.98E-01,charged multivesicular body protein 4B
CHMP4BP1,ENSG00000258469,0.468,3.67E-01,8.13E-01,charged multivesicular body protein 4B pseudogene 1
CHMP4C,ENSG00000164695,1.664,3.28E-03,8.39E-02,charged multivesicular body protein 4C
CHMP5,ENSG00000086065,0.127,5.92E-01,9.13E-01,charged multivesicular body protein 5
CHMP6,ENSG00000176108,0.093,7.35E-01,9.56E-01,charged multivesicular body protein 6
CHMP7,ENSG00000147457,0.097,6.88E-01,9.45E-01,charged multivesicular body protein 7
CHN1,ENSG00000128656,0.479,1.05E-01,5.29E-01,chimerin 1
CHODL,ENSG00000154645,-0.125,8.29E-01,9.76E-01,chondrolectin
CHODL-AS1,ENSG00000231755,0.47,4.25E-01, ,CHODL antisense RNA 1
CHORDC1,ENSG00000110172,0.087,6.32E-01,9.28E-01,cysteine and histidine-rich domain (CHORD) containing 1
CHORDC2P,ENSG00000259050,-0.798,2.22E-01, ,cysteine and histidine-rich domain (CHORD) containing 2 pseudogene
CHP1,ENSG00000187446,0.295,4.06E-01,8.32E-01,calcineurin-like EF-hand protein 1
CHP2,ENSG00000166869,-0.407,6.06E-01, ,calcineurin-like EF-hand protein 2
CHPF,ENSG00000123989,1.29,2.57E-03,7.25E-02,chondroitin polymerizing factor
CHPF2,ENSG00000033100,0.824,4.07E-02,3.39E-01,chondroitin polymerizing factor 2
CHPT1,ENSG00000111666,0.361,2.04E-01,6.77E-01,choline phosphotransferase 1
CHRAC1,ENSG00000104472,0.059,8.81E-01,9.85E-01,chromatin accessibility complex 1
CHRD,ENSG00000090539,-0.163,7.53E-01,9.61E-01,chordin
CHRDL1,ENSG00000101938,-0.663, , ,chordin-like 1
CHRDL2,ENSG00000054938,1.264,1.06E-01, ,chordin-like 2
CHRFAM7A,ENSG00000166664,0.447,3.75E-01,8.16E-01,"CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion"
CHRM1,ENSG00000168539,-2.31, , ,"cholinergic receptor, muscarinic 1"
CHRM2,ENSG00000181072,0.853,2.36E-01,7.15E-01,"cholinergic receptor, muscarinic 2"
CHRM3,ENSG00000133019,1.085,1.00E-01,5.16E-01,"cholinergic receptor, muscarinic 3"
CHRM3-AS1,ENSG00000234601, , , ,CHRM3 antisense RNA 1
CHRM3-AS2,ENSG00000233355,0.854,2.24E-01, ,CHRM3 antisense RNA 2
CHRM4,ENSG00000180720,-0.31,5.58E-01,9.02E-01,"cholinergic receptor, muscarinic 4"
CHRM5,ENSG00000184984,1.986,2.88E-03,7.83E-02,"cholinergic receptor, muscarinic 5"
CHRNA1,ENSG00000138435,1.702,1.61E-02,2.05E-01,"cholinergic receptor, nicotinic, alpha 1 (muscle)"
CHRNA10,ENSG00000129749,-0.102,7.10E-01,9.50E-01,"cholinergic receptor, nicotinic, alpha 10 (neuronal)"
CHRNA2,ENSG00000120903,0.247,7.50E-01, ,"cholinergic receptor, nicotinic, alpha 2 (neuronal)"
CHRNA3,ENSG00000080644,-1.653,2.07E-03,6.23E-02,"cholinergic receptor, nicotinic, alpha 3 (neuronal)"
CHRNA5,ENSG00000261762,-2.019,6.87E-04,2.95E-02,"cholinergic receptor, nicotinic, alpha 5 (neuronal)"
CHRNA5,ENSG00000169684,-0.209,6.44E-01,9.32E-01,"cholinergic receptor, nicotinic, alpha 5 (neuronal)"
CHRNA6,ENSG00000147434,1.977,1.42E-05,1.78E-03,"cholinergic receptor, nicotinic, alpha 6 (neuronal)"
CHRNA7,ENSG00000175344,0.208,7.31E-01,9.55E-01,"cholinergic receptor, nicotinic, alpha 7 (neuronal)"
CHRNA9,ENSG00000174343,1.807,1.36E-03,4.71E-02,"cholinergic receptor, nicotinic, alpha 9 (neuronal)"
CHRNB1,ENSG00000170175,-0.234,4.82E-01,8.66E-01,"cholinergic receptor, nicotinic, beta 1 (muscle)"
CHRNB2,ENSG00000160716,-0.363,5.83E-01,9.10E-01,"cholinergic receptor, nicotinic, beta 2 (neuronal)"
CHRNB3,ENSG00000147432,1.211,1.28E-01, ,"cholinergic receptor, nicotinic, beta 3 (neuronal)"
CHRNB4,ENSG00000117971,-0.886,8.57E-02,4.82E-01,"cholinergic receptor, nicotinic, beta 4 (neuronal)"
CHRND,ENSG00000135902,-1.133, , ,"cholinergic receptor, nicotinic, delta (muscle)"
CHRNE,ENSG00000108556,-0.164,7.34E-01,9.56E-01,"cholinergic receptor, nicotinic, epsilon (muscle)"
CHRNG,ENSG00000196811,-0.013,9.87E-01,9.98E-01,"cholinergic receptor, nicotinic, gamma (muscle)"
CHST1,ENSG00000175264,0.05,9.27E-01,9.92E-01,carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
CHST10,ENSG00000115526,-0.822,4.71E-02,3.62E-01,carbohydrate sulfotransferase 10
CHST11,ENSG00000171310,0.989,3.24E-03,8.36E-02,carbohydrate (chondroitin 4) sulfotransferase 11
CHST13,ENSG00000180767,-0.095,9.01E-01, ,carbohydrate (chondroitin 4) sulfotransferase 13
CHST14,ENSG00000169105,0.343,4.99E-01,8.74E-01,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
CHST15,ENSG00000182022,-0.259,5.11E-01,8.80E-01,carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15
CHST2,ENSG00000175040,0.263,4.87E-01,8.69E-01,carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
CHST3,ENSG00000122863,-0.014,9.77E-01,9.97E-01,carbohydrate (chondroitin 6) sulfotransferase 3
CHST4,ENSG00000140835,3.36,8.54E-06, ,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
CHST5,ENSG00000135702,-0.103,8.49E-01,9.78E-01,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5
CHST6,ENSG00000183196,0.117,8.60E-01,9.80E-01,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6
CHST7,ENSG00000147119,0.066,9.17E-01,9.90E-01,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
CHST8,ENSG00000124302,0.936,1.75E-01,6.45E-01,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8
CHST9,ENSG00000154080,-2.552,2.82E-04,1.62E-02,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9
CHSY1,ENSG00000131873,0.592,9.30E-02,5.00E-01,chondroitin sulfate synthase 1
CHSY3,ENSG00000198108,1.173,6.52E-02,4.27E-01,chondroitin sulfate synthase 3
CHTF18,ENSG00000127586,-0.255,4.13E-01,8.36E-01,chromosome transmission fidelity factor 18
CHTF8,ENSG00000168802,-0.055,8.13E-01,9.72E-01,chromosome transmission fidelity factor 8
CHTF8P1,ENSG00000233543, , , ,chromosome transmission fidelity factor 8 pseudogene 1
CHTOP,ENSG00000160679,-0.351,3.10E-02,2.95E-01,chromatin target of PRMT1
CHUK,ENSG00000213341,0.048,8.00E-01,9.70E-01,conserved helix-loop-helix ubiquitous kinase
CHURC1,ENSG00000258289,-0.373,3.21E-01,7.81E-01,churchill domain containing 1
CHURC1-FNTB,ENSG00000125954, , , ,CHURC1-FNTB readthrough
CIAO1,ENSG00000144021,-0.161,4.86E-01,8.69E-01,cytosolic iron-sulfur assembly component 1
CIAPIN1,ENSG00000005194,0.155,2.84E-01,7.52E-01,cytokine induced apoptosis inhibitor 1
CIAPIN1P,ENSG00000263846,-0.376,4.48E-01, ,cytokine induced apoptosis inhibitor 1 pseudogene
CIART,ENSG00000159208,-0.436,2.82E-01,7.51E-01,circadian associated repressor of transcription
CIB1,ENSG00000185043,0.052,9.15E-01,9.90E-01,calcium and integrin binding 1 (calmyrin)
CIB2,ENSG00000136425,0.152,7.58E-01,9.62E-01,calcium and integrin binding family member 2
CIB3,ENSG00000141977,-0.815,2.15E-01, ,calcium and integrin binding family member 3
CIB4,ENSG00000157884,0.827,2.85E-01, ,calcium and integrin binding family member 4
CIC,ENSG00000079432,0.118,4.61E-01,8.58E-01,capicua transcriptional repressor
CICP1,ENSG00000233652, , , ,capicua transcriptional repressor pseudogene 1
CICP10,ENSG00000224160, , , ,capicua transcriptional repressor pseudogene 10
CICP11,ENSG00000237799, , , ,capicua transcriptional repressor pseudogene 11
CICP12,ENSG00000225270,-0.376,4.48E-01, ,capicua transcriptional repressor pseudogene 12
CICP13,ENSG00000234419,-0.211,7.23E-01, ,capicua transcriptional repressor pseudogene 13
CICP14 (includes others),ENSG00000233003, , , ,capicua transcriptional repressor pseudogene 26
CICP14 (includes others),ENSG00000233653, , , ,capicua transcriptional repressor pseudogene 26
CICP16,ENSG00000248213,-0.069,9.02E-01, ,capicua transcriptional repressor pseudogene 16
CICP17,ENSG00000227233, , , ,capicua transcriptional repressor pseudogene 17
CICP18,ENSG00000217929,1.705,2.26E-02, ,capicua transcriptional repressor pseudogene 18
CICP2,ENSG00000233740, , , ,capicua transcriptional repressor pseudogene 2
CICP20,ENSG00000235955,0.307,5.41E-01, ,capicua transcriptional repressor pseudogene 20
CICP22,ENSG00000226220,0.301,5.46E-01, ,capicua transcriptional repressor pseudogene 22
CICP23,ENSG00000270921, , , ,capicua transcriptional repressor pseudogene 23
CICP24,ENSG00000271466,-0.362,4.61E-01, ,capicua transcriptional repressor pseudogene 24
CICP27,ENSG00000233750,0.101,8.63E-01,9.81E-01,capicua transcriptional repressor pseudogene 27
CICP3,ENSG00000229376, , , ,capicua transcriptional repressor pseudogene 3
CICP4,ENSG00000232852,0.046,9.54E-01, ,capicua transcriptional repressor pseudogene 4
CICP5,ENSG00000233771, , , ,capicua transcriptional repressor pseudogene 5
CICP6,ENSG00000267639, , , ,capicua transcriptional repressor pseudogene 6
CICP6,ENSG00000230304, , , ,capicua transcriptional repressor pseudogene 6
CICP8,ENSG00000225371,-0.362,4.61E-01, ,capicua transcriptional repressor pseudogene 8
CICP9,ENSG00000228882, , , ,capicua transcriptional repressor pseudogene 9
CIDEA,ENSG00000176194,1.049,1.87E-01, ,cell death-inducing DFFA-like effector a
CIDEB,ENSG00000136305,0.862,2.72E-01, ,cell death-inducing DFFA-like effector b
CIDEC,ENSG00000187288,-0.496,5.26E-01, ,cell death-inducing DFFA-like effector c
CIDECP,ENSG00000186162,0.071,7.23E-01,9.54E-01,cell death-inducing DFFA-like effector c pseudogene
CIITA,ENSG00000179583,0.518,5.03E-01, ,"class II, major histocompatibility complex, transactivator"
CILP,ENSG00000138615,1.346,3.57E-02,3.17E-01,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
CILP2,ENSG00000160161,2.378,1.12E-03,4.17E-02,cartilage intermediate layer protein 2
CINP,ENSG00000100865,0.169,4.53E-01,8.54E-01,cyclin-dependent kinase 2 interacting protein
CIPC,ENSG00000198894,-0.267,2.18E-01,6.92E-01,CLOCK-interacting pacemaker
CIR1,ENSG00000138433,0.039,8.39E-01,9.76E-01,"corepressor interacting with RBPJ, 1"
CIR1P1,ENSG00000253146, , , ,"corepressor interacting with RBPJ, 1 pseudogene 1"
CIR1P2,ENSG00000250215,-0.479,3.75E-01, ,"corepressor interacting with RBPJ, 1 pseudogene 2"
CIR1P3,ENSG00000216708, , , ,CIR1P3 processed pseudogene
CIRBP,ENSG00000099622,-0.307,4.51E-02,3.54E-01,cold inducible RNA binding protein
CIRBP-AS1,ENSG00000267493,0.342,4.96E-01,8.74E-01,CIRBP antisense RNA 1
CIRH1A,ENSG00000141076,0.316,8.28E-02,4.76E-01,"cirrhosis, autosomal recessive 1A (cirhin)"
CIRH1A,ENSG00000262788, , , ,"cirrhosis, autosomal recessive 1A (cirhin)"
CISD1,ENSG00000122873,0.246,5.82E-01,9.10E-01,CDGSH iron sulfur domain 1
CISD1P1,ENSG00000213403, , , ,CDGSH iron sulfur domain 1 pseudogene 1
CISD2,ENSG00000145354,0.049,8.62E-01,9.81E-01,CDGSH iron sulfur domain 2
CISH,ENSG00000114737,0.543,2.33E-01,7.12E-01,cytokine inducible SH2-containing protein
CISTR,ENSG00000260492,0.479,5.46E-01, ,chondrogenesis-associated transcript
CIT,ENSG00000122966,-0.456,3.79E-01,8.18E-01,citron rho-interacting serine/threonine kinase
CITED1,ENSG00000125931,0.469,4.69E-01,8.59E-01,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1"
CITED2,ENSG00000164442,-0.203,4.39E-01,8.49E-01,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
CITED4,ENSG00000179862,-0.289,4.22E-01,8.41E-01,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4"
CIZ1,ENSG00000148337,0.073,7.12E-01,9.51E-01,CDKN1A interacting zinc finger protein 1
CKAP2,ENSG00000136108,-0.312,3.42E-01,7.98E-01,cytoskeleton associated protein 2
CKAP2L,ENSG00000169607,-0.721,2.17E-01,6.92E-01,cytoskeleton associated protein 2-like
